param N:=496;

param M:=10;

param DEMAND:=
1 76
2 50 
3 1189 
4 3876
5 4187
6 945
7 817
8 138
9 1380
10 140;

param PATTERNS:
1 2 3 4 5 6 7 8 9 10 =
1	0 0 0 0 0 4 7 4 1 4
2	0 0 0 0 0 4 8 0 6 2
3	0 0 0 0 0 4 8 1 4 3
4	0 0 0 0 0 4 8 2 2 4
5	0 0 0 0 0 4 8 3 0 5
6	0 0 0 0 0 4 8 7 0 0
7	0 0 0 0 0 4 9 0 3 4
8	0 0 0 0 0 4 9 1 1 5
9	0 0 0 0 0 4 9 5 1 0
10	0 0 0 0 0 4 10 0 0 6
11	0 0 0 0 0 4 10 3 2 0
12	0 0 0 0 0 4 10 4 0 1
13	0 0 0 0 0 4 11 1 3 0
14	0 0 0 0 0 4 11 2 1 1
15	0 0 0 0 0 4 12 0 2 1
16	0 0 0 0 0 4 12 1 0 2
17	0 0 0 0 0 5 0 0 2 16
18	0 0 0 0 0 5 0 0 10 7
19	0 0 0 0 0 5 0 1 0 17
20	0 0 0 0 0 5 0 1 8 8
21	0 0 0 0 0 5 0 2 6 9
22	0 0 0 0 0 5 0 2 14 0
23	0 0 0 0 0 5 0 3 4 10
24	0 0 0 0 0 5 0 3 12 1
25	0 0 0 0 0 5 0 4 2 11
26	0 0 0 0 0 5 0 4 10 2
27	0 0 0 0 0 5 0 5 0 12
28	0 0 0 0 0 5 0 5 8 3
29	0 0 0 0 0 5 0 6 6 4
30	0 0 0 0 0 5 0 7 4 5
31	0 0 0 0 0 5 0 8 2 6
32	0 0 0 0 0 5 0 9 0 7
33	0 0 0 0 0 5 0 11 4 0
34	0 0 0 0 0 5 0 12 2 1
35	0 0 0 0 0 5 0 13 0 2
36	0 0 0 0 0 5 1 0 7 9
37	0 0 0 0 0 5 1 0 15 0
38	0 0 0 0 0 5 1 1 5 10
39	0 0 0 0 0 5 1 1 13 1
40	0 0 0 0 0 5 1 2 3 11
41	0 0 0 0 0 5 1 2 11 2
42	0 0 0 0 0 5 1 3 1 12
43	0 0 0 0 0 5 1 3 9 3
44	0 0 0 0 0 5 1 4 7 4
45	0 0 0 0 0 5 1 5 5 5
46	0 0 0 0 0 5 1 6 3 6
47	0 0 0 0 0 5 1 7 1 7
48	0 0 0 0 0 5 1 9 5 0
49	0 0 0 0 0 5 1 10 3 1
50	0 0 0 0 0 5 1 11 1 2
51	0 0 0 0 0 5 2 0 4 11
52	0 0 0 0 0 5 2 0 12 2
53	0 0 0 0 0 5 2 1 2 12
54	0 0 0 0 0 5 2 1 10 3
55	0 0 0 0 0 5 2 2 0 13
56	0 0 0 0 0 5 2 2 8 4
57	0 0 0 0 0 5 2 3 6 5
58	0 0 0 0 0 5 2 4 4 6
59	0 0 0 0 0 5 2 5 2 7
60	0 0 0 0 0 5 2 6 0 8
61	0 0 0 0 0 5 2 7 6 0
62	0 0 0 0 0 5 2 8 4 1
63	0 0 0 0 0 5 2 9 2 2
64	0 0 0 0 0 5 2 10 0 3
65	0 0 0 0 0 5 3 0 1 13
66	0 0 0 0 0 5 3 0 9 4
67	0 0 0 0 0 5 3 1 7 5
68	0 0 0 0 0 5 3 2 5 6
69	0 0 0 0 0 5 3 3 3 7
70	0 0 0 0 0 5 3 4 1 8
71	0 0 0 0 0 5 3 5 7 0
72	0 0 0 0 0 5 3 6 5 1
73	0 0 0 0 0 5 3 7 3 2
74	0 0 0 0 0 5 3 8 1 3
75	0 0 0 0 0 5 4 0 6 6
76	0 0 0 0 0 5 4 1 4 7
77	0 0 0 0 0 5 4 2 2 8
78	0 0 0 0 0 5 4 3 0 9
79	0 0 0 0 0 5 4 3 8 0
80	0 0 0 0 0 5 4 4 6 1
81	0 0 0 0 0 5 4 5 4 2
82	0 0 0 0 0 5 4 6 2 3
83	0 0 0 0 0 5 4 7 0 4
84	0 0 0 0 0 5 5 0 3 8
85	0 0 0 0 0 5 5 1 1 9
86	0 0 0 0 0 5 5 1 9 0
87	0 0 0 0 0 5 5 2 7 1
88	0 0 0 0 0 5 5 3 5 2
89	0 0 0 0 0 5 5 4 3 3
90	0 0 0 0 0 5 5 5 1 4
91	0 0 0 0 0 5 6 0 0 10
92	0 0 0 0 0 5 6 0 8 1
93	0 0 0 0 0 5 6 1 6 2
94	0 0 0 0 0 5 6 2 4 3
95	0 0 0 0 0 5 6 3 2 4
96	0 0 0 0 0 5 6 4 0 5
97	0 0 0 0 0 5 6 8 0 0
98	0 0 0 0 0 5 7 0 5 3
99	0 0 0 0 0 5 7 1 3 4
100	0 0 0 0 0 5 7 2 1 5
101	0 0 0 0 0 5 7 6 1 0
102	0 0 0 0 0 5 8 0 2 5
103	0 0 0 0 0 5 8 1 0 6
104	0 0 0 0 0 5 8 4 2 0
105	0 0 0 0 0 5 8 5 0 1
106	0 0 0 0 0 5 9 2 3 0
107	0 0 0 0 0 5 9 3 1 1
108	0 0 0 0 0 5 10 0 4 0
109	0 0 0 0 0 5 10 1 2 1
110	0 0 0 0 0 5 10 2 0 2
111	0 0 0 0 0 5 11 0 1 2
112	0 0 0 0 0 6 0 0 6 10
113	0 0 0 0 0 6 0 0 14 1
114	0 0 0 0 0 6 0 1 4 11
115	0 0 0 0 0 6 0 1 12 2
116	0 0 0 0 0 6 0 2 2 12
117	0 0 0 0 0 6 0 2 10 3
118	0 0 0 0 0 6 0 3 0 13
119	0 0 0 0 0 6 0 3 8 4
120	0 0 0 0 0 6 0 4 6 5
121	0 0 0 0 0 6 0 5 4 6
122	0 0 0 0 0 6 0 6 2 7
123	0 0 0 0 0 6 0 7 0 8
124	0 0 0 0 0 6 0 8 6 0
125	0 0 0 0 0 6 0 9 4 1
126	0 0 0 0 0 6 0 10 2 2
127	0 0 0 0 0 6 0 11 0 3
128	0 0 0 0 0 6 1 0 3 12
129	0 0 0 0 0 6 1 0 11 3
130	0 0 0 0 0 6 1 1 1 13
131	0 0 0 0 0 6 1 1 9 4
132	0 0 0 0 0 6 1 2 7 5
133	0 0 0 0 0 6 1 3 5 6
134	0 0 0 0 0 6 1 4 3 7
135	0 0 0 0 0 6 1 5 1 8
136	0 0 0 0 0 6 1 6 7 0
137	0 0 0 0 0 6 1 7 5 1
138	0 0 0 0 0 6 1 8 3 2
139	0 0 0 0 0 6 1 9 1 3
140	0 0 0 0 0 6 2 0 0 14
141	0 0 0 0 0 6 2 0 8 5
142	0 0 0 0 0 6 2 1 6 6
143	0 0 0 0 0 6 2 2 4 7
144	0 0 0 0 0 6 2 3 2 8
145	0 0 0 0 0 6 2 4 0 9
146	0 0 0 0 0 6 2 4 8 0
147	0 0 0 0 0 6 2 5 6 1
148	0 0 0 0 0 6 2 6 4 2
149	0 0 0 0 0 6 2 7 2 3
150	0 0 0 0 0 6 2 8 0 4
151	0 0 0 0 0 6 3 0 5 7
